"id","A","B","C","D","E"
"1","Operação Lava Jato","Operação Greenfield","Operação Navalha","Operação Panatenaico","Operação CarneFraca"
"2","Ano 2007, em São Paulo","Ano 2006, no Mato Grosso","Ano 1982, no Ceará","Ano 1996, em São Paulo","Ano 1952, na Floresta Amazônica"
"3","Brasil, Estados Unidos, México e Índia","China, Estados Unidos, Índia e Indonésia","Rússia, Japão, Canadá e China","Estados Unidos, China, Rússia e Brasil","Brasil, Estados Unidos, China e Vaticano"
"4","Revolução Farroupilha","Revolução Federalista","Revolução Praieira","Revolução Pernambucana","Revolução Acreana"
"5","Zelar pela cultura em todas as nações","Unir as nações com o objetivo de manter a paz e a segurança mundial","Financiar países em desenvolvimento","Regular o funcionamento do sistema financeiro a nível internacional","Gerenciar acordos de comércio entre os países"
"6","Governo de Dilma Rousseff","Governo de José Sarney","Governo de Fernando Henrique","Governo de Tancredo Neves","Governo de Luís Inácio Lula da Silva"
"7","Tem entre 2 a 4 litros. São retirados 450 mililitros","Tem entre 4 a 6 litros. São retirados 450 mililitros","Tem 10 litros. São retirados 2 litros","Tem 0.5 litros. São retirados 0,5 litros","Tem 7 litros. São retirados 1,5 litros"
"8","Platão","Galileu Galilei","Descartes","Sócrates","Francis Bacon"
"9","França","Inglaterra","Brasil","Austrália","Itália"
"10","Vaticano e Rússia","Nauru e China","Mônaco e Canadá","Malta e Estados Unidos","São Marino e Índia"
"11","Asterístico, beneficiente, meteorologia, entertido","Asterisco, beneficente, meteorologia, entretido","Asterisco, beneficente, metereologia, entretido","Asterístico, beneficiente, metereologia, entretido","Asterisco, beneficiente, metereologia, entretido"
"12","O Senhor dos Anéis","Dom Quixote","O Pequeno Príncipe","Ela, a Feiticeira","Um Conto de Duas Cidades"
"13","Duas","Centenas","Trilhares","Vinte","Milhares"
"14","113","109","108","118","92"
"15","Japão e Serra Leoa","Austrália e Afeganistão","Itália e Chade","Brasil e Congo","Estados Unidos e Angola"
"16","Legenda","Conto","História","Lenda","Legendário"
"17","8","10"," 9"," 5"," 7"
"18","Gregório de Matos, Bento Teixeira e Manuel Botelho de Oliveira","Miguel de Cervantes, Gregório de Matos e Danthe Alighieri","Padre Antônio Vieira, Padre Manuel de Melo e Gregório de Matos","Castro Alves, Bento Teixeira e Manuel Botelho de Oliveira","Álvares de Azevedo, Gregório de Matos e Bento Teixeira"
"19","12 minutos","1 dia","12 horas","8 minutos","segundos"
"20","Tubarão branco, crocodilo e sucuri","Tigre, gavião e orca","Hiena, urso branco e lobo cinzento","Orca, onça e tarântula","Leão, tubarão branco e urso cinzento"
"21","2,4 para ambos","2,5 m e 2,0 m","1,8 m e 1,5 m","2,45 m e 2,15 m","2,43 m e 2,24 m"
"22","Thomson, Dalton, Rutherford, Rutherford-Bohr","Rutherford-Bohr, Rutherford, Thomson, Dalton","Dalton, Rutherford-Bohr, Thomson, Rutherford","Dalton, Thomson, Rutherford-Bohr, Rutherford","Dalton, Thomson, Rutherford, Rutherford-Bohr"
"23","Neolítico","Paleolítico","Idade dos Metais","Período da Pedra Polida","Idade Média"
"24","Vogais, semivogais e consoantes","Artigo, verbo transitivo e verbo intransitivo","Fonologia, Morfologia e Sintaxe","Hiatos, ditongos e tritongos","Substantivo, verbo e preposição"
